solar_capacity,wind_capacity,hydro_capacity,energy_demand,region
100,200,500,800,USA
150,250,600,850,China
80,150,400,600,India
200,300,700,1000,Germany
120,180,450,700,Japan
90,170,420,620,France
110,220,550,820,Brazil
130,240,580,870,Canada
95,160,430,630,Australia
180,280,650,950,Russia
85,155,410,610,South Korea
160,260,620,880,Mexico
140,230,570,840,Indonesia
105,190,480,730,Turkey
170,270,640,920,United Kingdom
125,210,500,770,Saudi Arabia
145,240,590,860,South Africa
115,200,510,780,Italy
135,220,540,800,Argentina
165,270,630,930,Spain
75,140,380,580,Canada
155,250,610,900,Poland
195,310,680,970,Netherlands
145,230,560,830,Belgium
115,190,500,750,Taiwan
125,220,530,780,Nigeria
135,240,580,840,Pakistan
185,290,660,950,Austria
175,280,650,930,Switzerland
145,240,590,850,Sweden
155,260,620,890,Norway
165,270,640,910,Denmark
105,180,470,720,Malaysia
135,220,540,810,Philippines
125,210,520,790,Egypt
155,240,600,870,Algeria
165,260,630,900,Vietnam
95,170,440,640,Colombia
145,230,570,840,Chile
175,280,660,950,Argentina
105,190,480,730,Peru
115,200,510,770,Ukraine
125,220,540,790,Iran
135,240,570,840,Venezuela
155,250,600,870,Thailand
165,270,620,900,Israel
145,240,580,850,Portugal
155,260,630,890,Greece
165,280,650,930,Czech Republic
75,140,380,580,Ireland
115,190,500,750,Romania
125,210,520,790,Iraq
135,230,540,810,Kazakhstan
145,250,560,830,Qatar
155,270,580,890,Hungary
165,280,600,920,Kuwait
75,140,380,580,Uzbekistan
115,190,500,750,Slovakia
125,210,520,790,Angola
135,230,540,810,Ecuador
145,250,560,830,Syria
155,270,580,890,Belarus
165,280,600,920,United Arab Emirates
75,140,380,580,Turkmenistan
115,190,500,750,Norway
125,210,520,790,Serbia
135,230,540,810,Yemen
145,250,560,830,Tanzania
155,270,580,890,Croatia
165,280,600,920,Bulgaria
75,140,380,580,Bolivia
115,190,500,750,Nepal
125,210,520,790,Tunisia
135,230,540,810,Ghana
145,250,560,830,Sri Lanka
155,270,580,890,Uruguay
165,280,600,920,Paraguay
75,140,380,580,Cambodia
115,190,500,750,Oman
125,210,520,790,Belarus
135,230,540,810,Lebanon
145,250,560,830,Costa Rica
155,270,580,890,Guatemala
165,280,600,920,Latvia
75,140,380,580,Myanmar
115,190,500,750,Panama
125,210,520,790,Uganda
135,230,540,810,Cyprus
145,250,560,830,Uruguay
155,270,580,890,Jordan
165,280,600,920,Kenya
75,140,380,580,Botswana
115,190,500,750,Jamaica
125,210,520,790,Georgia
135,230,540,810,Malawi
145,250,560,830,Senegal
155,270,580,890,Zambia
165,280,600,920,Lithuania
75,140,380,580,Honduras
115,190,500,750,Rwanda
125,210,520,790,Bahrain
135,230,540,810,Mozambique
145,250,560,830,Tajikistan
155,270,580,890,Macedonia
165,280,600,920,Bosnia and Herzegovina
75,140,380,580,Qatar
115,190,500,750,Namibia
125,210,520,790,Botswana
135,230,540,810,Benin
145,250,560,830,Laos
155,270,580,890,Macau
165,280,600,920,Montenegro
75,140,380,580,Maldives
115,190,500,750,Liberia
125,210,520,790,Lesotho
135,230,540,810,Bhutan
145,250,560,830,Barbados
155,270,580,890,Suriname
165,280,600,920,Mauritania
75,140,380,580,Fiji
115,190,500,750,Belize
125,210,520,790,Swaziland
135,230,540,810,Djibouti
145,250,560,830,Maldives
155,270,580,890,Seychelles
165,280,600,920,Eritrea
75,140,380,580,Guinea-Bissau
115,190,500,750,Guyana
125,210,520,790,Timor-Leste
135,230,540,810,Equatorial Guinea
145,250,560,830,Comoros
155,270,580,890,Solomon Islands
165,280,600,920,Cape Verde
75,140,380,580,Luxembourg
115,190,500,750,Suriname
125,210,520,790,Western Sahara
135,230,540,810,Sao Tome and Pr
